登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
1007,在架,,2001/12/14 0:00,キモノ文様事典,,藤原久勝,淡交社,2001/5/1,4-473-01815-6,215,21,1800,753-ﾌｷ,図書,購入,1800,図書室,図書室,,一般貸出,,1,
1014,在架,,2001/12/14 0:00,「名画再読」美術館,,芥川喜好,小学館,2001/2/1,4-09-386061-0,213,29,3800,721-ｱﾒ,図書,購入,3800,図書室,図書室,,貸出禁止,,0,
1021,在架,,2001/12/14 0:00,学問はおもしろい,講談社選書メチエ,選書メチエ編集部,講談社,2001/3/1,4-06-258210-4,234,19,1500,2-ｶﾞ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1038,在架,,2001/12/14 0:00,対話,,茨木のり子,童話屋,2001/6/1,4-88747-019-3,91,22,2000,911.5-ｲﾀ,図書,購入,2000,図書室,図書室,,一般貸出,不知火社　１９５５年刊の再刊,0,
1045,在架,,2001/12/14 0:00,この世界のぜんぶ,,池沢夏樹,中央公論新社,2001/6/1,4-12-003153-5,1,20,1400,911.5-ｲｺ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
1052,在架,,2001/12/14 0:00,日本近代文学の名作,,吉本隆明,毎日新聞社,2001/4/1,4-620-31515-X,187,20,1500,910.2-ﾖﾆ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1069,在架,,2001/12/14 0:00,新美南吉紹介,,帯金充利,三一書房,2001/5/1,4-380-01202-6,319,20,2200,910.2-ｵﾆﾆ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
1403,在架,,2001/12/14 0:00,不揃いの木を組む,,小川三夫,草思社,2001/5/1,4-7942-1058-2,213,20,1500,525.5-ｵﾌ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1410,在架,,2001/12/14 0:00,図説ローマ,ふくろうの本,河辺泰宏,河出書房新社,2001/1/1,4-309-72653-4,143,22,1800,523.3-ｶｽﾞ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1427,在架,,2001/12/14 0:00,必読！環境本１００,,石弘之,平凡社,2001/3/1,4-582-74207-6,229,21,1500,519-ﾋ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1434,在架,,2001/12/14 0:00,沈黙の春,,レイチェル・カーソン,新潮社,2001/6/1,4-10-519703-7,403,20,2400,519-ｶﾁ,図書,購入,2400,図書室,図書室,,一般貸出,初版の書名：生と死の妙薬,0,
1441,在架,,2001/12/14 0:00,楽しいペットボトル＆空き容器クラフト,素敵なリメイク雑貨,寺西恵里子,ＰＨＰ研究所,2001/5/1,4-569-61577-5,126,26,1500,750-ﾃﾀ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1458,在架,,2001/12/14 0:00,おしゃれな牛乳パック＆空き箱クラフト,素敵なリメイク雑貨,寺西恵里子,ＰＨＰ研究所,2001/5/1,4-569-61576-7,126,26,1500,754.9-ﾃｵ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1465,在架,,2001/12/14 0:00,日本近代化遺産を歩く,ＪＴＢキャンブックス  歴史,日本ナショナルトラスト,ＪＴＢ,2001/4/1,4-533-03760-7,159,21,1700,602.1-ﾆ,図書,購入,1700,図書室,図書室,,一般貸出,,0,
1472,在架,,2001/12/14 0:00,インフルエンザ大流行の謎,ＮＨＫブックス,根路銘国昭,日本放送出版協会,2001/1/1,4-14-001907-7,254,19,970,493.8-ﾈｲ,図書,購入,970,図書室,図書室,,一般貸出,,0,
1489,在架,,2001/12/14 0:00,脳を知りたい！,,野村進,新潮社,2001/3/1,4-10-444501-0,235,20,1500,491.3-ﾉﾉ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1496,在架,,2001/12/14 0:00,おかあさんになったアイ,,松沢哲郎,講談社,2001/4/1,4-06-154254-0,237,20,1500,489.9-ﾏｵ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1502,在架,,2001/12/14 0:00,フクロウの不思議な生活,ワイルドライフ・ブックス,クリス・ミード,晶文社,2001/4/1,4-7949-4699-6,242,22,1900,488.7-ﾐﾌ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1519,在架,,2001/12/14 0:00,箱船にのった鳥たち,,キット・チャブ,福音館書店,2001/4/1,4-8340-1731-1,316,22,1600,488-ﾁﾊ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1526,在架,,2001/12/14 0:00,川の自然を残したい,未来へ残したい日本の自然,高橋健,ポプラ社,2001/3/1,4-591-06786-6,139,20,1400,487.6-ﾀｶ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
1533,在架,,2001/12/14 0:00,食べられるシマウマの正義食べるライオンの正義,,竹田津実,新潮社,2001/6/1,4-10-447301-4,157,21,1500,482.4-ﾀﾀ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1540,在架,,2001/12/14 0:00,失敗、しっぱい、また失敗！,,田中光常,山と渓谷社,2001/2/1,4-635-33027-3,238,20,1800,480.4-ﾀｼ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1557,在架,,2001/12/14 0:00,動物の言い分人間の言い分,角川ｏｎｅテーマ２１,日高敏隆,角川書店,2001/5/1,4-04-704032-0,207,18,571,480.4-ﾋﾄﾞ,図書,購入,571,図書室,図書室,,一般貸出,,0,
1564,在架,,2001/12/14 0:00,花と昆虫、不思議なだましあい発見記,Ｋｏｄａｎｓｈａ　ｓｏｐｈｉａ　ｂｏｏｋｓ,田中肇,講談社,2001/5/1,4-06-269143-4,262,20,1600,471.3-ﾀﾊ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1571,在架,,2001/12/14 0:00,サイエンスアイのにっぽん名物研究室,ＫＡＷＡＤＥ夢新書,ＮＨＫサイエンスアイ,河出書房新社,2001/5/1,4-309-50219-9,216,18,667,460.4-ｻ,図書,購入,667,図書室,図書室,,一般貸出,,0,
1588,在架,,2001/12/14 0:00,水の自然誌,,Ｅ．Ｃ．ピルー,河出書房新社,2001/2/1,4-309-25135-8,320,20,2400,452.9-ﾋﾟﾐ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
1595,在架,,2001/12/14 0:00,雨の名前,,高橋順子,小学館,2001/6/1,4-09-681431-8,159,22,2400,451.6-ﾀｱ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
1601,在架,,2001/12/14 0:00,空を見る,ちくまプリマーブックス,平沼洋司,筑摩書房,2001/1/1,4-480-04242-3,158,19,1400,451-ﾋｿ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
1618,在架,,2001/12/14 0:00,星空散歩ガイドマップ,,西条善弘,誠文堂新光社,2001/6/1,4-416-20104-4,143,30,2200,443.8-ｻﾎ,図書,購入,2200,図書室,図書室,,一般貸出,ｃｏｐｅｓ,0,
1625,在架,,2001/12/14 0:00,巨石文明の謎を解き明かす,,桜井邦朋,ＰＨＰ研究所,2001/5/1,4-569-61486-8,188,20,1250,440.2-ｻｷ,図書,購入,1250,図書室,図書室,,一般貸出,,0,
1632,在架,,2001/12/14 0:00,科学は今どうなっているの？,,池内了,晶文社,2001/5/1,4-7949-6488-9,320,20,2200,404-ｲｶ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
1076,在架,,2001/12/14 0:00,井上ひさし伝,,桐原良光,白水社,2001/6/1,4-560-04937-8,353,20,2400,910.2-ｷｲｲ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
1083,在架,,2001/12/14 0:00,英語、それを言うならこうでしょう,講談社＋α新書,関口敏行,講談社,2001/5/1,4-06-272075-2,234,18,780,837.8-ｾｴ,図書,購入,780,図書室,図書室,,一般貸出,,0,
1090,在架,,2001/12/14 0:00,生きている日本の方言,,佐藤亮一,新日本出版社,2001/6/1,4-406-02820-X,190,19,1900,818-ｻｲ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1106,在架,,2001/12/14 0:00,敬語で解く日本の平等・不平等,講談社現代新書,浅田秀子,講談社,2001/4/1,4-06-149550-X,232,18,680,815.8-ｱｹ,図書,購入,680,図書室,図書室,,一般貸出,,0,
1113,在架,,2001/12/14 0:00,裏読み深読み国語辞書,,石山茂利夫,草思社,2001/2/1,4-7942-1037-X,254,20,1600,813.1-ｲｳ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1120,在架,,2001/12/14 0:00,ザ・ディベート,ちくま新書,茂木秀昭,筑摩書房,2001/4/1,4-480-05892-3,220,18,680,809.6-ﾓｻﾞ,図書,購入,680,図書室,図書室,,一般貸出,,0,
1137,在架,,2001/12/14 0:00,通訳席から世界が見える,ちくまプリマーブックス,新崎隆子,筑摩書房,2001/3/1,4-480-04243-1,200,19,1200,801.7-ｼﾂ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
1144,在架,,2001/12/14 0:00,バドミントン教本,,日本バドミントン協会,ベースボール・マガジン社,2001/3/1,4-583-03636-1,221,21,2000,783.5-ﾊﾞ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
1151,在架,,2001/12/14 0:00,トリック・カード事典,,松田道弘,東京堂出版,2001/4/1,4-490-10568-1,271,22,3400,779.3-ﾏﾄ,図書,購入,3400,図書室,図書室,,一般貸出,,0,
1243,在架,,2001/12/14 0:00,テレビの自画像,ちくまプリマーブックス,桜井均,筑摩書房,2001/4/1,4-480-04244-X,197,19,1200,699.6-ｻﾃ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
1250,在架,,2001/12/14 0:00,世界乗り物いろいろ事典,とんぼの本,桜井寛,新潮社,2001/3/1,4-10-602084-X,127,22,1500,680.4-ｻｾ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1267,在架,,2001/12/14 0:00,交通,日本史小百科,荒井秀規,東京堂出版,2001/6/1,4-490-20433-7,345,20,2900,682.1-ｺ,図書,購入,2900,図書室,図書室,,一般貸出,,0,
1274,在架,,2001/12/14 0:00,考えない世界,,原田宗典,講談社,2001/2/1,4-06-210522-5,39,24,1900,726.6-ｶｶ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1281,在架,,2001/12/14 0:00,ターナー,Ｒｉｋｕｙｏｓｈａ　ａｒｔ　ｖｉｅｗ,藤田治彦,六耀社,2001/2/1,4-89737-387-5,119,22,1800,723.3-ﾌﾀﾀ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1298,在架,,2001/12/14 0:00,歌の風景,,安野光雅,講談社,2001/3/1,4-06-210645-0,107,25,3000,723.1-ｱｳ,図書,購入,3000,図書室,図書室,,一般貸出,,0,
1304,在架,,2001/12/14 0:00,洛中洛外図舟木本,アートセレクション,奥平俊六,小学館,2001/4/1,4-09-607009-2,127,25,1900,721.4-ｵﾗ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1311,除籍,,2001/12/14 0:00,日本仏像史,,水野敬三郎,美術出版社,2001/5/1,4-568-40061-9,220,21,2500,718-ﾆ,図書,購入,2500,図書室,図書室,,一般貸出,,0,
1649,在架,,2001/12/14 0:00,心にしみる天才の逸話２０,ブルーバックス,山田大隆,講談社,2001/2/1,4-06-257320-2,326,18,1100,402.8-ﾔｺ,図書,購入,1100,図書室,図書室,,一般貸出,,0,
1656,在架,,2001/12/14 0:00,日本人のひるめし,中公新書,酒井伸雄,中央公論新社,2001/3/1,4-12-101579-7,212,18,700,383.8-ｻﾆ,図書,購入,700,図書室,図書室,,一般貸出,,0,
1663,在架,,2001/12/14 0:00,京の町家めぐり,新撰京の魅力,蔵田敏明,淡交社,2001/5/1,4-473-01811-3,126,21,1500,383.9-ｸｷ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1670,在架,,2001/12/14 0:00,草原と馬とモンゴル人,ＮＨＫブックス,楊海英,日本放送出版協会,2001/5/1,4-14-001915-8,204,19,870,382.2-ﾔｿ,図書,購入,870,図書室,図書室,,一般貸出,,0,
1687,在架,,2001/12/14 0:00,生命の森の人びと,理論社ライブラリー  異文化に出会う本,吉田敏浩,理論社,2001/4/1,4-652-01140-7,165,21,1500,382.2-ﾖｾ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1694,在架,,2001/12/14 0:00,ナバホの大地へ,理論社ライブラリー  異文化に出会う本,ぬくみちほ,理論社,2001/2/1,4-652-01139-3,180,21,1500,382.5-ﾇﾅ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1700,在架,,2001/12/14 0:00,自分を信じて生きる,,松木正,小学館,2001/7/1,4-09-387341-0,191,20,1500,382.5-ﾏｼﾞ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1717,在架,,2001/12/14 0:00,江戸にぞっこん,,菊地ひと美,文化出版局,2001/5/1,4-579-30392-X,87,25,1400,382.1-ｷｴ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
1724,在架,,2001/12/14 0:00,図説大正昭和くらしの博物誌,ふくろうの本,近藤雅樹,河出書房新社,2001/3/1,4-309-72656-9,167,22,1800,383.9-ｽﾞ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1731,在架,,2001/12/14 0:00,「十七歳」が心をひらくとき,,能重真作,新日本出版社,2001/4/1,4-406-02813-7,214,19,1600,368.7-ﾉｼﾞ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1748,在架,,2001/12/14 0:00,わたしが選んだ職業,,「わたしが選んだ職業」編集委員会,福音館書店,2001/6/1,4-8340-1765-6,333,21,1500,366.2-ﾜ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1755,在架,,2001/12/14 0:00,戦争を記憶する,講談社現代新書,藤原帰一,講談社,2001/2/1,4-06-149540-2,204,18,660,319.8-ﾌｾ,図書,購入,660,図書室,図書室,,一般貸出,,0,
1762,在架,,2001/12/14 0:00,情報公開法,中公新書,林田学,中央公論新社,2001/2/1,4-12-101573-8,187,18,720,317.6-ﾊｼﾞ,図書,購入,720,図書室,図書室,,一般貸出,,0,
1779,在架,,2001/12/14 0:00,クローズアップ現代 Ｖｏｌ．２,,ＮＨＫ「クローズアップ現代」制作班,日本放送出版協会,2001/3/1,4-14-080600-1,255,21,1600,304-ｸ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1786,在架,,2001/12/14 0:00,南極大陸単独横断行,,大場満郎,講談社,2001/2/1,4-06-210430-X,227,20,1500,297.9-ｵﾅ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1793,在架,,2001/12/14 0:00,星明かりの秘境カラコルム,,藤田弘基,平凡社,2001/4/1,4-582-52963-1,86,22,2200,292.5-ﾌﾎ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
1809,在架,,2001/12/14 0:00,空飛ぶ男サントス‐デュモン,,ナンシー・ウィンターズ,草思社,2001/4/1,4-7942-1056-6,189,20,1600,289.3-ｳｿｻ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1816,在架,,2001/12/14 0:00,坂本竜馬、京をゆく,新撰京の魅力,木村幸比古,淡交社,2001/4/1,4-473-01809-1,126,21,1500,289.1-ｷｻｻ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
1823,在架,,1996/7/18 0:00,最後の授業,,フェリット・エドギュ,晶文社,1995/11/30,4-7949-6231-2,339,20,2330,929.5-ｴｻ,図書,購入,2330,図書室,図書室,,一般貸出,,0,
1830,在架,,2001/12/14 0:00,メディチ家はなぜ栄えたか,講談社選書メチエ,藤沢道郎,講談社,2001/3/1,4-06-258209-0,276,19,1700,288.3-ﾌﾒ,図書,購入,1700,図書室,図書室,,一般貸出,,0,
1847,在架,,2001/12/14 0:00,Ｓｕｐｅｒ　ｔｅａｃｈｅｒｓ,,ＮＨＫ「未来への教室」プロジェクト,日本放送出版協会,2001/3/1,4-14-080552-8,279,19,1400,280.4-ｽ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
1854,在架,,2001/12/14 0:00,ヒトラー・ユーゲント,中公新書,平井正,中央公論新社,2001/1/1,4-12-101572-X,242,18,760,379.3-ﾋﾋ,図書,購入,760,図書室,図書室,,一般貸出,,0,
1861,在架,,2001/12/14 0:00,始皇帝の地下帝国,,鶴間和幸,講談社,2001/5/1,4-06-209732-X,278,20,1900,222-ﾂｼ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1878,在架,,2001/12/14 0:00,京都発見 ３　3,3,梅原猛,新潮社,2001/5/1,4-10-303015-1,222,22,2500,216.2-ｳｷ-3,図書,購入,2500,図書室,図書室,,一般貸出,,0,
1885,在架,,2001/12/14 0:00,ようこそ考古学の世界へ,,佐古和枝,中央公論新社,2001/2/1,4-12-003066-0,318,19,1800,210.2-ｻﾖ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1168,在架,,2001/12/14 0:00,能がわかる１００のキーワード,,津村礼次郎,小学館,2001/3/1,4-09-386055-6,238,19,1600,773-ﾂﾉ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1175,在架,,2001/12/14 0:00,深い河のかなたへ,,小川洋司,音楽之友社,2001/1/1,4-276-21255-3,265,19,2200,767.8-ｵﾌ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
1182,在架,,2001/12/14 0:00,色の名前事典,,福田邦夫,主婦の友社,2001/5/1,4-07-230958-3,440,19,2300,757.3-ﾌｲ,図書,購入,2300,保健室,保健室,,一般貸出,,1,
1199,在架,,2001/12/14 0:00,新しいシルクスクリーン入門,,多摩美術大学校友会,誠文堂新光社,2001/3/1,4-416-80100-9,111,26,1800,749.8-ｱ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
1205,在架,,2001/12/14 0:00,白籏史朗の百一名山,,白籏史朗,山と渓谷社,2001/4/1,4-635-54629-2,253,26,2900,748-ｼｼ,図書,購入,2900,図書室,図書室,,一般貸出,,0,
1212,在架,,2001/12/14 0:00,世界版画史,,青木茂,美術出版社,2001/6/1,4-568-40060-0,203,21,2500,732-ｾ,図書,購入,2500,図書室,図書室,,一般貸出,,0,
1229,在架,,2001/12/14 0:00,文字に聞く,,南鶴渓,毎日新聞社,2001/4/1,4-620-31514-1,221,20,1429,728.4-ﾐﾓ,図書,購入,1429,図書室,図書室,,一般貸出,,0,
1236,在架,,2001/12/14 0:00,フレスコ画のルネサンス,,宮下孝晴,日本放送出版協会,2001/1/1,4-14-080570-6,239,22,2500,723.3-ﾐﾌ,図書,購入,2500,図書室,図書室,,一般貸出,,0,
1328,在架,,2001/12/14 0:00,よみがえった黒こげのイチョウ,ノンフィクション・ワールド,唐沢孝一,大日本図書,2001/6/1,4-477-01201-2,157,20,1350,653.2-ｶﾖ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
1335,在架,子,2001/12/14 0:00,決定版！やさしい手作りのおべんとう,,,講談社,2001/3/1,9.78E+14,223,26,1600,596.4-ｹ,図書,購入,1600,図書室,図書室,,一般貸出,18年2/14発見,0,
1342,在架,,2001/12/14 0:00,インド、カレーの旅,,ミラ・メータ,文化出版局,2001/6/1,4-579-20768-8,95,26,1600,596.2-ﾒｲ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
1359,在架,,2001/12/14 0:00,紙の大百科,新デザインガイド,,美術出版社,2001/4/1,4-568-50227-6,179,26,2500,585-ｶ,図書,購入,2500,図書室,図書室,,一般貸出,,0,
1366,在架,,2001/12/14 0:00,宇宙で気がついた人生で一番大切なこと,,ジェリー・リネンジャー,講談社,2001/3/1,4-06-210619-1,236,20,1900,538.9-ﾘｳ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1373,在架,,2001/12/14 0:00,ロボサピエンス,,ピーター・メンゼル,河出書房新社,2001/5/1,4-309-25139-0,237,29,3800,548.3-ﾒﾛ,図書,購入,3800,図書室,図書室,,一般貸出,,0,
1380,在架,,2001/12/14 0:00,宇宙 ２　2,ＮＨＫスペシャル　2,ＮＨＫ「宇宙」プロジェクト,日本放送出版協会,2001/6/1,4-14-080592-7,237,22,1900,440-ｳ-2,図書,購入,1900,図書室,図書室,,一般貸出,,0,
1397,在架,,2001/12/14 0:00,宇宙 １　1,ＮＨＫスペシャル　1,ＮＨＫ「宇宙」プロジェクト,日本放送出版協会,2001/3/1,4-14-080591-9,239,22,1900,440-ｳ-1,図書,購入,1900,図書室,図書室,,一般貸出,,0,
2493,在架,,2001/10/10 0:00,成分表示で安心を買おう,,垣田達哉,五月書房,2001/7/1,4-7727-0345-4,215,19,1000,498.5-ｶｾ,図書,購入,1000,図書室,図書室,,一般貸出,,0,
2509,在架,,2001/10/10 0:00,そうじの女王が教える世界一のせんたく術,,リンダ・コブ,アーティストハウス,2001/6/11,,180,21,1200,597.9-ｺｿ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
2516,在架,,2001/10/10 0:00,うちの猫はおりこうさん？,,ジョエル・ドゥハッス,マガジンハウス,2001/5/1,4-8387-1263-4,173,20,1200,645.7-ﾄﾞｳ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
2523,在架,,2001/10/10 0:00,捨て猫ミーちゃん,,平間至,河出書房新社,2001/6/1,4-309-26475-1,1,18,1300,748-ﾋｽ,図書,購入,1300,図書室,図書室,,一般貸出,付：Ｐｏｓｔ　ｃａｒｄ（２枚）,1,
2530,在架,,2001/10/10 0:00,お母さんのきもち,,新川和江,小学館,2001/6/1,4-09-387342-9,101,20,1400,911.5-ｼｵ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
2547,在架,,2001/10/10 0:00,ひとり暮し,Ｇｅｎｔｏｓｈａ　ｎｏｖｅｌｓ,赤川次郎,幻冬舎,2001/6/1,4-344-00901-0,206,18,800,913.6-ｱﾋ,図書,購入,800,図書室,図書室,,一般貸出,,0,
